Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,Date,Game_Name,churn,Gain_Ratio,Gain_Direction,Volatility
September 2021,512350.92,268.96,0.05,942519,https://steamcharts.com/app/730,2021-09-01,Counter Strike: Global Offensive,0,0.0005249527023392483,1,0.0005249527023392483
August 2021,512081.96,6014.6,1.19,802544,https://steamcharts.com/app/730,2021-08-01,Counter Strike: Global Offensive,0,0.011745385445720447,1,0.011745385445720447
July 2021,506067.36,-43279.72,-7.88,763523,https://steamcharts.com/app/730,2021-07-01,Counter Strike: Global Offensive,1,-0.08552165861872618,0,0.08552165861872618
June 2021,549347.08,-110541.81,-16.75,929940,https://steamcharts.com/app/730,2021-06-01,Counter Strike: Global Offensive,1,-0.2012239875744857,0,0.2012239875744857
May 2021,659888.89,-63457.63,-8.77,1087197,https://steamcharts.com/app/730,2021-05-01,Counter Strike: Global Offensive,1,-0.09616411332519934,0,0.09616411332519934
April 2021,723346.52,-17581.31,-2.37,1148077,https://steamcharts.com/app/730,2021-04-01,Counter Strike: Global Offensive,1,-0.024305515425718783,0,0.024305515425718783
March 2021,740927.82,-85.42,-0.01,1198581,https://steamcharts.com/app/730,2021-03-01,Counter Strike: Global Offensive,1,-0.00011528788323807305,0,0.00011528788323807305
February 2021,741013.24,-2196.42,-0.3,1123485,https://steamcharts.com/app/730,2021-02-01,Counter Strike: Global Offensive,1,-0.002964076593287321,0,0.002964076593287321
January 2021,743209.66,25405.91,3.54,1124553,https://steamcharts.com/app/730,2021-01-01,Counter Strike: Global Offensive,0,0.03418404168750982,1,0.03418404168750982
December 2020,717803.75,49049.17,7.33,1164396,https://steamcharts.com/app/730,2020-12-01,Counter Strike: Global Offensive,0,0.06833228441617921,1,0.06833228441617921
November 2020,668754.58,55087.89,8.98,1037464,https://steamcharts.com/app/730,2020-11-01,Counter Strike: Global Offensive,0,0.08237385080787037,1,0.08237385080787037
October 2020,613666.69,6816.37,1.12,943876,https://steamcharts.com/app/730,2020-10-01,Counter Strike: Global Offensive,0,0.011107609572225601,1,0.011107609572225601
September 2020,606850.32,-33107.34,-5.17,977769,https://steamcharts.com/app/730,2020-09-01,Counter Strike: Global Offensive,1,-0.05455602297449559,0,0.05455602297449559
August 2020,639957.66,14056.85,2.25,925348,https://steamcharts.com/app/730,2020-08-01,Counter Strike: Global Offensive,0,0.02196528126563873,1,0.02196528126563873
July 2020,625900.81,-45746.65,-6.81,857560,https://steamcharts.com/app/730,2020-07-01,Counter Strike: Global Offensive,1,-0.07308929668903927,0,0.07308929668903927
June 2020,671647.46,-97147.79,-12.64,1009467,https://steamcharts.com/app/730,2020-06-01,Counter Strike: Global Offensive,1,-0.1446410442764125,0,0.1446410442764125
May 2020,768795.25,-88808.97,-10.36,1193359,https://steamcharts.com/app/730,2020-05-01,Counter Strike: Global Offensive,1,-0.11551706387363866,0,0.11551706387363866
April 2020,857604.22,186570.94,27.8,1305714,https://steamcharts.com/app/730,2020-04-01,Counter Strike: Global Offensive,0,0.21754899946737669,1,0.21754899946737669
March 2020,671033.29,127054.13,23.36,1145972,https://steamcharts.com/app/730,2020-03-01,Counter Strike: Global Offensive,0,0.18934102360256969,1,0.18934102360256969
February 2020,543979.15,42783.15,8.54,916996,https://steamcharts.com/app/730,2020-02-01,Counter Strike: Global Offensive,0,0.0786485107011914,1,0.0786485107011914
January 2020,501196.0,44494.44,9.74,817229,https://steamcharts.com/app/730,2020-01-01,Counter Strike: Global Offensive,0,0.08877652654849601,1,0.08877652654849601
December 2019,456701.56,30620.76,7.19,767060,https://steamcharts.com/app/730,2019-12-01,Counter Strike: Global Offensive,0,0.06704763609741118,1,0.06704763609741118
November 2019,426080.81,17085.5,4.18,758412,https://steamcharts.com/app/730,2019-11-01,Counter Strike: Global Offensive,0,0.04009920090041136,1,0.04009920090041136
October 2019,408995.31,-1930.29,-0.47,747937,https://steamcharts.com/app/730,2019-10-01,Counter Strike: Global Offensive,1,-0.004719589571821741,0,0.004719589571821741
September 2019,410925.6,-4171.7,-1.0,720052,https://steamcharts.com/app/730,2019-09-01,Counter Strike: Global Offensive,1,-0.01015195938145494,0,0.01015195938145494
August 2019,415097.3,21314.48,5.41,647461,https://steamcharts.com/app/730,2019-08-01,Counter Strike: Global Offensive,0,0.051348153794303165,1,0.051348153794303165
July 2019,393782.83,4406.1,1.13,578933,https://steamcharts.com/app/730,2019-07-01,Counter Strike: Global Offensive,0,0.011189162310606585,1,0.011189162310606585
June 2019,389376.72,24959.42,6.85,587724,https://steamcharts.com/app/730,2019-06-01,Counter Strike: Global Offensive,0,0.06410095600990219,1,0.06410095600990219
May 2019,364417.31,12427.39,3.53,588453,https://steamcharts.com/app/730,2019-05-01,Counter Strike: Global Offensive,0,0.03410208477747668,1,0.03410208477747668
April 2019,351989.92,-38250.24,-9.8,621614,https://steamcharts.com/app/730,2019-04-01,Counter Strike: Global Offensive,1,-0.10866856641803833,0,0.10866856641803833
March 2019,390240.16,18881.2,5.08,680071,https://steamcharts.com/app/730,2019-03-01,Counter Strike: Global Offensive,0,0.048383538998139,1,0.048383538998139
February 2019,371358.96,-30007.91,-7.48,654069,https://steamcharts.com/app/730,2019-02-01,Counter Strike: Global Offensive,1,-0.08080567114901442,0,0.08080567114901442
January 2019,401366.87,5857.61,1.48,684511,https://steamcharts.com/app/730,2019-01-01,Counter Strike: Global Offensive,0,0.014594154221049684,1,0.014594154221049684
December 2018,395509.26,85423.83,27.55,746548,https://steamcharts.com/app/730,2018-12-01,Counter Strike: Global Offensive,0,0.2159843994550216,1,0.2159843994550216
November 2018,310085.43,-15822.39,-4.85,546031,https://steamcharts.com/app/730,2018-11-01,Counter Strike: Global Offensive,1,-0.051025905989842864,0,0.051025905989842864
October 2018,325907.82,-7256.17,-2.18,565968,https://steamcharts.com/app/730,2018-10-01,Counter Strike: Global Offensive,1,-0.02226448570641846,0,0.02226448570641846
September 2018,333163.99,49632.68,17.51,583029,https://steamcharts.com/app/730,2018-09-01,Counter Strike: Global Offensive,0,0.14897372312055693,1,0.14897372312055693
August 2018,283531.31,10224.05,3.74,454370,https://steamcharts.com/app/730,2018-08-01,Counter Strike: Global Offensive,0,0.03605968596554645,1,0.03605968596554645
July 2018,273307.26,6445.02,2.42,426008,https://steamcharts.com/app/730,2018-07-01,Counter Strike: Global Offensive,0,0.023581590917123828,1,0.023581590917123828
June 2018,266862.24,4691.36,1.79,420261,https://steamcharts.com/app/730,2018-06-01,Counter Strike: Global Offensive,0,0.01757970704285477,1,0.01757970704285477
May 2018,262170.88,-26905.82,-9.31,454481,https://steamcharts.com/app/730,2018-05-01,Counter Strike: Global Offensive,1,-0.10262703470347279,0,0.10262703470347279
April 2018,289076.7,-65193.64,-18.4,523262,https://steamcharts.com/app/730,2018-04-01,Counter Strike: Global Offensive,1,-0.22552367589639705,0,0.22552367589639705
March 2018,354270.33,-28186.77,-7.37,672502,https://steamcharts.com/app/730,2018-03-01,Counter Strike: Global Offensive,1,-0.07956288634162505,0,0.07956288634162505
February 2018,382457.1,426.57,0.11,686588,https://steamcharts.com/app/730,2018-02-01,Counter Strike: Global Offensive,0,0.0011153407793972187,1,0.0011153407793972187
January 2018,382030.53,41153.65,12.07,715850,https://steamcharts.com/app/730,2018-01-01,Counter Strike: Global Offensive,0,0.10772345864609302,1,0.10772345864609302
December 2017,340876.88,19745.48,6.15,598405,https://steamcharts.com/app/730,2017-12-01,Counter Strike: Global Offensive,0,0.0579255477813573,1,0.0579255477813573
November 2017,321131.4,-20729.86,-6.06,601881,https://steamcharts.com/app/730,2017-11-01,Counter Strike: Global Offensive,1,-0.06455257878862049,0,0.06455257878862049
October 2017,341861.26,-12540.83,-3.54,639968,https://steamcharts.com/app/730,2017-10-01,Counter Strike: Global Offensive,1,-0.036683975247736464,0,0.036683975247736464
September 2017,354402.09,-20023.6,-5.35,665371,https://steamcharts.com/app/730,2017-09-01,Counter Strike: Global Offensive,1,-0.056499666805012345,0,0.056499666805012345
August 2017,374425.69,-3163.35,-0.84,595781,https://steamcharts.com/app/730,2017-08-01,Counter Strike: Global Offensive,1,-0.008448538880972616,0,0.008448538880972616
July 2017,377589.04,3201.0,0.85,624785,https://steamcharts.com/app/730,2017-07-01,Counter Strike: Global Offensive,0,0.008477470638448616,1,0.008477470638448616
June 2017,374388.04,2558.7,0.69,614621,https://steamcharts.com/app/730,2017-06-01,Counter Strike: Global Offensive,0,0.006834352934992261,1,0.006834352934992261
May 2017,371829.34,-20369.85,-5.19,692966,https://steamcharts.com/app/730,2017-05-01,Counter Strike: Global Offensive,1,-0.05478279363322969,0,0.05478279363322969
April 2017,392199.19,5290.47,1.37,709841,https://steamcharts.com/app/730,2017-04-01,Counter Strike: Global Offensive,0,0.013489242545350489,1,0.013489242545350489
March 2017,386908.72,-15476.99,-3.85,742356,https://steamcharts.com/app/730,2017-03-01,Counter Strike: Global Offensive,1,-0.04000165723843081,0,0.04000165723843081
February 2017,402385.71,9276.18,2.36,744468,https://steamcharts.com/app/730,2017-02-01,Counter Strike: Global Offensive,0,0.023052955831855956,1,0.023052955831855956
